Area Unit Code	Population day	LandAreaSQKM //For area units that are only partly in selection, only MB that are in selection are included, removed points with either zero population or zero land area
523819	873	1.57453325
522730	3705	1.24882292
522810	4419	1.45101166
522820	3357	1.62660417
522910	3543	1.25610527
523000	5166	1.49026464
523101	4962	1.52362016
523105	2376	1.4321422
523106	4953	1.61661797
523820	6471	3.9148596
523107	1653	0.78356682
523109	3861	1.42124443
523114	5250	4.48866558
523115	6759	1.72770725
523201	2133	0.99918445
523402	3012	1.54086019
523403	1188	0.35150735
523404	669	1.06250065
523501	1668	1.20998137
523502	4428	1.18140423
523814	6024	2.68983616
523816	3537	0.94818315
523817	2241	0.50323179
523911	3678	4.92555262
524002	5955	3.31455279
524111	2901	0.98668726
523920	4629	2.35401024
524112	3834	1.24255474
524121	2049	0.71603752
524402	156	1.87001767
524405	3291	0.63568382
524520	4893	1.11365794
524404	2556	1.10911248
525410	2100	1.07195448
524530	5046	1.05982973
524602	3954	3.44049828
524603	2898	1.65684496
524711	3366	0.64850809
524712	2052	0.47925687
524713	3126	0.6896057
524812	4986	1.61042858
524821	2832	0.74920254
524822	4965	1.05668039
524902	2511	0.82850153
525101	5271	1.94633912
525102	7380	3.14417674
525420	2526	1.15733534
525510	1677	1.95689351
525520	2604	1.10872124
525540	3051	1.20714963
525610	6042	1.64653583
525630	4212	1.38069021
513212	2667	0.70145202
513013	2829	0.69944252
513621	27	0.48845982
512903	1164	0.45112547
513220	6864	3.26396617
511800	3954	1.51684467
