areaunit,empirical,estimate,adjusted_estimate,empirical_density,estimate_density,adjusted_estimate_density
508803,0.0,0.00011616466764080237,0.00011347890505262823,0.0,0.0037079597158878016,0.003622230554985091
523818,0.0004962163503287433,0.0006761655804281837,0.0006605324257331567,0.00010489625446499508,0.00014293611393110397,0.00013963138732970564
511100,0.00148864905098623,0.0017861797753725365,0.0017448827535338257,0.002131316330648545,0.002557294563284446,0.002498169132079769
511902,0.00297729810197246,0.003192868988679034,0.0031190488826787176,0.0019149698076240161,0.002053622950610383,0.0020061425608930896
521301,0.0004962163503287433,0.0007277279540123275,0.0007109026614948265,0.00013797958779351418,0.0002023544831884635,0.00019767598574570074
508805,0.00012405408758218582,0.0002631131125435782,0.0002570298570367258,0.0017584683668582205,0.003729631923712036,0.0036434016947465525
508411,0.002357027664061531,0.00391286961586513,0.0038224028755031703,0.0013685158015105745,0.002271854497174138,0.002219328527460588
523813,0.0003721622627465575,0.0006136855161686239,0.0005994969196383387,9.34221564254424e-05,0.0001540506118606026,0.0001504889146731248
508520,0.002357027664061531,0.004996574037712058,0.004881051720194441,0.0011873025901205892,0.0025169179756177646,0.002458726063449432
508420,0.004093784890212133,0.004879966053053643,0.004767139747749021,0.0017433532899625505,0.002078151417735041,0.0020301039223677548
507710,0.00024810817516437165,0.0024437306741253956,0.0023872308747162146,0.0002575608703044589,0.0025368345835458882,0.0024781821933204744
523202,0.0,1.804399229389413e-05,1.762680968210296e-05,0.0,2.1755021514674283e-05,2.125203877408998e-05
507720,0.0011164867882396724,0.002921242047990719,0.002853702039803765,0.0012001022697439743,0.0031400185377855293,0.0030674203503484104
511402,0.002232973576479345,0.00436171247762875,0.004260868353243094,0.0016947318182509725,0.0033103539583994273,0.003233817564023687
513511,0.002357027664061531,0.0015638643270740372,0.0015277073062867608,0.002151398756569579,0.0014274315995566412,0.0013944289450909886
507900,0.005210271678451805,0.005651335036401019,0.00552067444465434,0.0014237292507136992,0.0015442517191921366,0.0015085481478880423
508020,0.0026051358392259025,0.005158457445176556,0.005039192333845259,0.001479122521500836,0.0029288263853571284,0.0028611110249742917
508320,0.003721622627465575,0.0034917637832152858,0.0034110331382940676,0.0018324533198159744,0.001719275374495294,0.0016795252028349518
509701,0.0031013521895546458,0.004252246127216507,0.004153932898279286,0.002244208051463743,0.003077020735550569,0.0030058790765382813
510220,0.0026051358392259025,0.003212139272852617,0.003137873631997788,0.001882836969229032,0.0023215428854705972,0.0022678681050466686
510700,0.006698920729438035,0.006830327941625035,0.0066724086738895036,0.003254458379907578,0.003318298410287838,0.0032415783377585006
511302,0.001612703138568416,0.002261734360947664,0.0022094423718739785,0.0023396120687427316,0.003281187269134095,0.003205325217520578
511401,0.002357027664061531,0.004003570902989687,0.003911007121172648,0.0018182827426423023,0.003088476216400051,0.00301706970317245
513512,0.0018608113137327876,0.002559080507237409,0.002499913784463179,0.002075841322766941,0.0028548004980442823,0.002788796638780839
